,Angry,Fear,Happy,Neutral,Sad,Surprise,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1
0,11.881188118811881,6.435643564356438,21.782178217821784,34.653465346534645,14.356435643564355,10.891089108910892,0,0,0,tester-181124012054
1,11.881188118811881,6.435643564356438,21.782178217821784,34.653465346534645,14.356435643564355,10.891089108910892,1,1,tester-181124012054,
2,11.881188118811881,6.435643564356438,21.782178217821784,34.653465346534645,14.356435643564355,10.891089108910892,2,tester-181124012054,,
3,11.881188118811881,6.435643564356437,21.782178217821784,34.653465346534645,14.356435643564355,10.891089108910892,tester-181124012054,,,
tester-181124012054,11.881188118811881,6.435643564356436,21.782178217821784,34.65346534653465,14.356435643564355,10.891089108910892,,,,
