,Angry,Fear,Happy,Neutral,Sad,Surprise
Benchmark Average,5.765372483415137,8.388862442225218,42.9070733958169,16.597073461223193,20.8731260065504,5.468492216681817
Higher,61.88118811881188,,,58.415841584158414,,
Lower,,53.46534653465347,82.17821782178217,,63.366336633663366,60.396039603960396
